product.seo_slug,product.name,product.type,product.description,product.company.name,product.company.legal_address,product.company.license_description,product.company.website,product.requirement_incomes_min,product.requirement_incomes_max,product.t_requirement_incomes_min.raw,product.t_requirement_incomes_min.formatted,product.t_requirement_incomes_min.templated,product.t_requirement_incomes_max.raw,product.t_requirement_incomes_max.formatted,product.t_requirement_incomes_max.templated,product.requirement_age_min,product.requirement_age_max,product.requirement_last_experience_state,product.requirement_last_experience_time,product.t_requirement_last_experience_time,product.requirement_full_experience_state,product.requirement_full_experience_time,product.t_requirement_full_experience_time,product.application_review_time,product.t_application_review_time,product.application_expire_time,product.t_application_expire_time,product.is_archived,product.offer_url,product.benefits,product.requirement_age_description,product.requirement_document_types,product.execution_types,product.requirement_citizenship_description,product.requirement_documents_state,product.requirement_documents_description,product.execution_description,product.payment_description,product.application_review_description,product.application_expire_description,product.requirement_incomes_description,product.requirement_citizenship_state,product.requirement_people_state,product.requirement_citizenship_types,product.payment_types,product.requirement_people_types,product.requirement_registration_types,product.requirement_last_experience_description,product.requirement_full_experience_description,product.requirement_description
ipoteka-7-20-25,"Ипотека ""7-20-25""",mortgage,"Средства, выдаваемые гражданам Республики Казахстан на приобретение Первичного жилья",ЦентрКредит (БЦК),"г. Алматы, пр. Аль-Фараби, 38","Лицензия на проведение банковских и иных операций и деятельности на рынке ценных бумаг №1.2.25/195/34 от 03.02.2020, выданная Агентством РК по регулированию и развитию финансового рынка.",https://www.bcc.kz/,0.0,0.0,,0,0 ₸,,0,0 ₸,18.0,68.0,0,0.0,0 мес.,1,6.0,6 мес.,1,1 дн.,7.0,7 дн.,0,https://www.bcc.kz/ipoteka/,"[{'id': 11259, 'product_id': 427, 'name': 'Быстрое рассмотрение заявки;', 'description': None}, {'id': 11260, 'product_id': 427, 'name': 'Возможность приобретения жилья в любом городе Казахстана.', 'description': None}]",,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}, {'raw': 'address_reference', 'named': 'Адресная справка'}]","[{'raw': 'office', 'named': 'В офисе'}, {'raw': 'online', 'named': 'Онлайн'}]",,1,"- Документы, подтверждающие семейное положение (свидетельство о браке/расторжении/ смерти);
- Копии документов на приобретаемую квартиру/Квартирный листок;
- Отчет об оценке недвижимого имущества;
- Справка об отсутствии/наличии недвижимости (по РК).",Онлайн-заявка на сайте Банка.,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}, {'raw': 'pensioner', 'named': 'Пенсионеры'}, {'raw': 'student', 'named': 'Студенты / Молодежь'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,Не менее 6 месяцев,"- Отсутствие недвижимого имущества в собственности;
- Отсутствие действующих ипотечных жилищных займов;
- Отсутствие факта раннего участия в Программе"
ipoteka,Ипотека,mortgage,,ЦентрКредит (БЦК),"г. Алматы, пр. Аль-Фараби, 38","Лицензия на проведение банковских и иных операций и деятельности на рынке ценных бумаг №1.2.25/195/34 от 03.02.2020, выданная Агентством РК по регулированию и развитию финансового рынка.",https://www.bcc.kz/,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,68.0,0,0.0,0 мес.,0,0.0,0 лет,1,1 дн.,7.0,7 дн.,0,https://www.bcc.kz/ipoteka/,"[{'id': 11261, 'product_id': 541, 'name': 'Без финансового анализа', 'description': None}, {'id': 11262, 'product_id': 541, 'name': 'Минимальный пакет документов', 'description': None}, {'id': 11263, 'product_id': 541, 'name': 'Без ограничений на наличие жилья и ИЖЗ', 'description': None}, {'id': 11264, 'product_id': 541, 'name': 'Нет ограничений по квадратуре приобретаемого жилья', 'description': None}, {'id': 11265, 'product_id': 541, 'name': 'Быстрый скоринг', 'description': None}, {'id': 11266, 'product_id': 541, 'name': 'Максимальная сумма займа 100 млн. тенге', 'description': None}, {'id': 11267, 'product_id': 541, 'name': 'Обширный список кредитуемых населенных пунктов', 'description': None}]",,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'passport', 'named': 'Паспорт'}]","[{'raw': 'online', 'named': 'Онлайн'}, {'raw': 'office', 'named': 'В офисе'}]",,1,"- Документы, подтверждающие семейное положение;
- Копи прав. документов и тех.паспорта (от продавца);
- Справка о зарегистр. правах (обременениях) на недвижимое имущество (от продавца);
- Отчет об оценке НОК.",Онлайн-заявка на сайте банка.,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'pensioner', 'named': 'Пенсионеры'}, {'raw': 'student', 'named': 'Студенты / Молодежь'}, {'raw': 'military', 'named': 'Военнослужащие'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'employer', 'named': 'Работники по найму'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
ipoteka-stroyashcheesya-zhile-ot-bi-group,Ипотека «Строящееся жилье от BI Group»,mortgage,Компания BI Group совместно с Halyk Bank предлагают уникальные условия ипотеки на покупку первичной недвижимости.,Народный Банк Казахстана,"Аль-Фараби проспект, 40 блок D, Медеуский район, г. Алматы, 050059/A26M3K5",Лицензия на проведение банковских и иных операций и деятельности на рынке ценных бумаг,https://halykbank.kz,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,63.0,1,6.0,6 мес.,1,6.0,6 мес.,1,1 мин.,5.0,5 мин.,0,https://halykbank.kz/credit/ot-bi-group,[],,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}]","[{'raw': 'office', 'named': 'В офисе'}, {'raw': 'online', 'named': 'Онлайн'}]",,1,,,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]",[],"[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
partnerskaya-ipoteka,Партнерская ипотека,mortgage,Совместные ипотечные программы с партнерами-застройщиками,Altyn Bank,"Республика Казахстан, A05A1B9, Алматы, пр. Абая 109 «В»",,https://altyn-i.kz/,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,63.0,1,6.0,6 мес.,1,6.0,6 мес.,2,2 мин.,,0 мин.,0,https://altynbank.kz/ru/personal/partnerskaya-ipoteka,[],,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}]",[],,1,,,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]",[],"[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
bakytty-otbasy,Ипотека «Бакытты Отбасы»,mortgage,Программа кредитования для семей с невысоким доходом на приобретение жилья,Отбасы банк,"050000, г. Алматы, пр. Абылай хана, 141",,hcsbk.kz,85000.0,0.0,85000.0,85 000,85 000 ₸,,0,0 ₸,21.0,63.0,0,0.0,0 мес.,0,0.0,0 лет,1,1 дн.,10.0,10 дн.,0,https://otbasybank.kz/programm-bank/bakitty-otbasy,[],,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}, {'raw': 'birth_certificate', 'named': 'Свидетельство о рождении'}]","[{'raw': 'office', 'named': 'В офисе'}]",,1,"Документы:
удостоверение личности совершеннолетних членов семьи и свидетельства о рождении детей;
свидетельство о заключении или расторжении брака;
документы, подтверждающие доходы за последние 6 месяцев в том числе на супруга или супругу, а также на созаемщика при необходимости.",,,,,"Вы можете получить кредит только при наличии основного дохода. Основным доходом считается доход от трудовой и/или предпринимательской деятельности. Если вашего основного дохода недостаточно, вы можете включить в расчет дополнительные доходы.",1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'transfer', 'named': 'Перевод'}]",[],"[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
nuzhnyj-kredit-ipoteka,«Нужный кредит «Ипотека»,mortgage,Программа Банка на приобретение недвижимого имущества.,Bank RBK,,,https://www.bankrbk.kz,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,65.0,1,6.0,6 мес.,1,6.0,6 мес.,14,14 дн.,21.0,21 дн.,0,https://bankrbk.kz/ru/individuals/mortgage/nuzhnyy-kredit-ipoteka,"[{'id': 11418, 'product_id': 414, 'name': 'Сумма кредита до 75 000 000 тенге', 'description': None}, {'id': 11419, 'product_id': 414, 'name': 'Отсутствие комиссии за рассмотрение займа', 'description': None}, {'id': 11420, 'product_id': 414, 'name': 'Отсутствие комиссии за снятие наличных денег', 'description': None}]",,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}]","[{'raw': 'online', 'named': 'Онлайн'}, {'raw': 'office', 'named': 'В офисе'}]",,1,"- Документы, подтверждающие семейное положение заемщика/созаемщика/залогодателя на момент подачи заявки (копия свидетельства о заключении/расторжении брака, брачного контракта и др.);
- Правоустанавливающие, технические и идентификационные документы на недвижимое имущество (копии);
- Документ, удостоверяющий личность продавца недвижимого имущества (копия);
- По требованию Банка могут быть запрошены иные документы для выдачи кредита.",Онлайн заявка на сайте Банка,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}, {'raw': 'pensioner', 'named': 'Пенсионеры'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
promezhutochnyj-zaem,Промежуточный заем,mortgage,"Если срок ваших накоплений менее трех лет, но у вас уже есть 50% от стоимости жилья, то вы можете получить промежуточный займ.",Отбасы банк,"050000, г. Алматы, пр. Абылай хана, 141",,hcsbk.kz,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,68.0,1,7.0,7 мес.,1,12.0,12 мес.,7,7 дн.,30.0,30 дн.,0,https://hcsbk.kz/ru/most-important/promzaim/,[],,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}]","[{'raw': 'office', 'named': 'В офисе'}]",,1,"- Справка о заработной плате (за последние 7-12 месяцев) с указанием всех удержаний;
- Свидетельство о заключении/расторжении брака/свидетельство о смерти/свидетельство о рождении детей;
- Правоустанавливающие документы на имущество, предоставляемого в залог;
- Отчет об оценке независимого оценщика, квитанция;
Дополнительно возможно:
- Справка из ГЦВП о размере пенсии и пенсионная книжка/удостоверение;
- Справка о получении жилищных выплат с выпиской со счета (6 месяцев);
Банк вправе запросить при необходимости дополнительный пакет документов",,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'atm', 'named': 'Банкоматы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}, {'raw': 'pensioner', 'named': 'Пенсионеры'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",7-12 месяцев,,"Если срок ваших накоплений менее трех лет, но у вас уже есть 50% от стоимости жилья, то вы можете получить промежуточный займ."
ipoteka-zhas-otbasy,Ипотека «Жас отбасы»,mortgage,"Если вы недавно поженились, вы можете получить промежуточный заем под 6% годовых при однолетнем периоде накопления.",Отбасы банк,"050000, г. Алматы, пр. Абылай хана, 141",,hcsbk.kz,85000.0,0.0,85000.0,85 000,85 000 ₸,,0,0 ₸,0.0,0.0,0,0.0,0 мес.,0,0.0,0 лет,1,1 дн.,10.0,10 дн.,0,https://hcsbk.kz/ru/save/young-family/,"[{'id': 11409, 'product_id': 717, 'name': 'Нет ограничений по возрасту супругов', 'description': None}, {'id': 11410, 'product_id': 717, 'name': 'Через два года после получения займа ставка снижается до 5% годовых (ГЭСВ от 5,1% до 6,9%) после перехода на жилищный заем', 'description': None}, {'id': 11411, 'product_id': 717, 'name': 'Вы можете открыть депозиты на обоих супругов, объединить их в Семейный пакет и получать двойную премию от государства (подробная информация на сайте банка) )', 'description': None}]",Нет ограничений по возрасту супругов,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}]","[{'raw': 'office', 'named': 'В офисе'}]",,1,,,,,,,1,0,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'transfer', 'named': 'Перевод'}, {'raw': 'terminal', 'named': 'Терминалы'}]",[],"[{'raw': 'permanent', 'named': 'Постоянная'}]",,,"Участниками Семейного пакета по продукту «Жас Отбасы» могут быть только супруги. 
Для получения займа ""Жас отбасы"" одному или обоим супругам необходимо выполнить следующие условия:

1. Открыть новый депозит в Отбасы банке и накопить на нем минимум 1 год.
2. За период накопления общий стаж работы должен составить не менее 5 лет.
3. На момент подачи кредитной заявки нужно накопить или внести на депозит 50% от суммы покупки жилья.
4. На момент открытия депозита вашему браку не должно быть более пяти лет (согласно свидетельству о заключении брака)."
ipoteka-7-20-25,"Ипотека ""7-20-25""",mortgage,"Приобретение нового жилья введенного в эксплуатацию у застройщика (заказчика, инвестора строительства)",Евразийский банк,"Республика Казахстан, г. Алматы, ул. Кунаева, 56",,https://eubank.kz/,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,63.0,1,6.0,6 мес.,1,6.0,6 мес.,3,3 дн.,7.0,7 дн.,0,https://eubank.kz/mortgage/7-20-25/,"[{'id': 11373, 'product_id': 432, 'name': '7% ставка для заемщиков', 'description': None}, {'id': 11374, 'product_id': 432, 'name': 'Не менее 20%  первоначальный взнос', 'description': None}, {'id': 11375, 'product_id': 432, 'name': 'Срок кредита до 25 лет', 'description': None}]",,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}]","[{'raw': 'office', 'named': 'В офисе'}]",,1,"Свидетельство о браке/разводе и свидетельства о рождении детей;
Правоустанавливающие документы на недвижимость, являющейся обеспечением займа;
Справка об отсутствии (наличии) недвижимого имущества у заемщика на текущую дату;
Справка подтверждающая аварийное состояние, грозящее обвалом (обрушением) недвижимого имущества заемщика.",,Через кассу в отделении Банка,,,,1,0,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}]",[],"[{'raw': 'permanent', 'named': 'Постоянная'}]",,,"Отсутствие у заемщика непогашенной задолженности по займам на приобретение, строительство или ремонт жилья;
Отсутствие у заемщика на территории Республики Казахстан жилья на праве собственности, за исключением: 
- наличия комнат в общежитиях полезной площадью менее 15 квадратных метров на каждого члена семьи; 
- жилых домов в аварийном состоянии, грозящем обвалом (обрушением), которое подтверждается соответствующей справкой местного исполнительного органа по месту нахождения данного жилища."
ipoteka-7-20-25,"Ипотека ""7-20-25""",mortgage,Приобретение первичного жилья,Народный Банк Казахстана,"Аль-Фараби проспект, 40 блок D, Медеуский район, г. Алматы, 050059/A26M3K5",Лицензия на проведение банковских и иных операций и деятельности на рынке ценных бумаг,https://halykbank.kz,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,63.0,1,6.0,6 мес.,1,6.0,6 мес.,1,1 дн.,7.0,7 дн.,0,https://halykbank.kz/credit/7-20-25,"[{'id': 11336, 'product_id': 437, 'name': 'Низкая ставка', 'description': None}, {'id': 11337, 'product_id': 437, 'name': 'Срок кредитования до 25 лет', 'description': None}, {'id': 11338, 'product_id': 437, 'name': 'Первоначальный взнос от 20%', 'description': None}]","от 21 года до достижения пенсионного возраста согласно законодательству РК (мужчины 63, женщины 58)","[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}]","[{'raw': 'online', 'named': 'Онлайн'}, {'raw': 'office', 'named': 'В офисе'}]",,1,,Онлайн заявка на сайте Банка.,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'atm', 'named': 'Банкоматы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,"- Отсутствие недвижимости в собственности за исключением: 
наличия комнат в общежитиях полезной площадью менее 15 квадратных метров на каждого члена семьи; 
жилых домов в аварийном состоянии, грозящем обвалом (обрушением), которое подтверждается соответствующей справкой местного исполнительного органа по месту нахождения данного жилища; 
- Отсутствие непогашенной задолженности по ипотечным жилищным займам;
- Залогодателем может быть только сам заемщик."
ipoteka-7-20-25,"Ипотека ""7-20-25""",mortgage,"Средства, выдаваемые гражданам Республики Казахстан на приобретение Первичного жилья.",ForteBank,"г. Нур-Султан, ул. Достык, 8/1 (Z05P1P0 (010017))",Лицензия Национального Банка Республики Казахстан,https://forte.bank/,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,0.0,1,6.0,6 мес.,1,6.0,6 мес.,3,3 дн.,7.0,7 дн.,0,,[],,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}]","[{'raw': 'office', 'named': 'В офисе'}]",,1,"- Свидетельство о браке/разводе и свидетельства о рождении детей;
- Правоустанавливающие, технические и идентификационные документы на предмет обеспечения;
- Справка об отсутствии (наличии) недвижимого имущества у заемщика на текущую дату;
- Справка подтверждающая аварийное состояние, грозящее обвалом (обрушением) недвижимого имущества заемщика.",,,,,,1,0,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'transfer', 'named': 'Перевод'}]",[],"[{'raw': 'permanent', 'named': 'Постоянная'}]",,Не менее 6 месяцев,"- Отсутствие непогашенной задолженности по ипотечным жилищным займам по Программе «7-20-25» и иным ипотечным жилищным займам, подтвержденное кредитным отчетом кредитного бюро.
- Отсутствие на территории Республики Казахстан жилья на праве собственности, за исключением комнат в общежитиях менее 15 квадратных метров на каждого члена семьи, жилых домов в аварийном состоянии;
- Наличие дохода."
