product.seo_slug,product.name,product.type,product.description,product.company.name,product.company.legal_address,product.company.license_description,product.company.website,product.requirement_incomes_min,product.requirement_incomes_max,product.t_requirement_incomes_min.raw,product.t_requirement_incomes_min.formatted,product.t_requirement_incomes_min.templated,product.t_requirement_incomes_max.raw,product.t_requirement_incomes_max.formatted,product.t_requirement_incomes_max.templated,product.requirement_age_min,product.requirement_age_max,product.requirement_last_experience_state,product.requirement_last_experience_time,product.t_requirement_last_experience_time,product.requirement_full_experience_state,product.requirement_full_experience_time,product.t_requirement_full_experience_time,product.application_review_time,product.t_application_review_time,product.application_expire_time,product.t_application_expire_time,product.is_archived,product.offer_url,product.benefits,product.requirement_age_description,product.requirement_document_types,product.execution_types,product.requirement_citizenship_description,product.requirement_documents_state,product.requirement_documents_description,product.execution_description,product.payment_description,product.application_review_description,product.application_expire_description,product.requirement_incomes_description,product.requirement_citizenship_state,product.requirement_people_state,product.requirement_citizenship_types,product.payment_types,product.requirement_people_types,product.requirement_registration_types,product.requirement_last_experience_description,product.requirement_full_experience_description,product.requirement_description
ipoteka-7-20-25,Ипотека «7-20-25»,mortgage,,Altyn Bank,"Республика Казахстан, A05A1B9, Алматы, пр. Абая 109 «В»",,https://altyn-i.kz/,160000.0,0.0,160000.0,160 000,160 000 ₸,,0,0 ₸,21.0,63.0,1,5.0,5 мес.,1,6.0,6 мес.,1,1 дн.,10.0,10 дн.,0,https://altynbank.kz/ru/personal/7-20-25,"[{'id': 11292, 'product_id': 712, 'name': 'Ставка вознаграждения 7% годовых', 'description': None}, {'id': 11293, 'product_id': 712, 'name': 'Первоначальный взнос от 20%', 'description': None}, {'id': 11294, 'product_id': 712, 'name': 'Срок займа до 25 лет', 'description': None}]","Минимальный возраст заемщика 21, максимальный возраст заемщика-мужчины на момент погашения кредита 65, заемщика-женщины – 63","[{'raw': 'identical_card', 'named': 'Удостоверение личности'}]","[{'raw': 'office', 'named': 'В офисе'}]",,1,,,,,,400 000 тенге для индивидуальных предпринимателей,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
svoy-dom,Ипотека «Свой дом»,mortgage,"Программа ""Свой дом"" доступна для всех клиентов банка, у которых на момент подачи заявления накопилось не менее 500 000 тенге.",Отбасы банк,"050000, г. Алматы, пр. Абылай хана, 141",,hcsbk.kz,85000.0,0.0,85000.0,85 000,85 000 ₸,,0,0 ₸,18.0,65.0,1,6.0,6 мес.,1,6.0,6 мес.,1,1 дн.,10.0,10 дн.,0,https://otbasybank.kz/programm-bank/own-house,"[{'id': 11404, 'product_id': 715, 'name': 'Цены на жилье по программе ниже рыночных', 'description': None}, {'id': 11405, 'product_id': 715, 'name': 'Нет ограничений на количество имеющегося и приобретаемого жилья', 'description': None}, {'id': 11406, 'product_id': 715, 'name': 'Можно купить жилье на этапе строительства через долевое участие', 'description': None}, {'id': 11407, 'product_id': 715, 'name': 'Можно самому выбрать квартиру в строящемся объекте', 'description': None}, {'id': 11408, 'product_id': 715, 'name': 'Не требуется прописка по месту приобретаемого жилья', 'description': None}]",,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}]","[{'raw': 'office', 'named': 'В офисе'}]",,1,,,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}, {'raw': 'student', 'named': 'Студенты / Молодежь'}, {'raw': 'pensioner', 'named': 'Пенсионеры'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,не менее 6 месяцев,
nur-shanyrak,Ипотека «Нур Шанырак»,mortgage,"Займы на приобретение жилой недвижимости, находящейся в залоге или на балансе банка",Нурбанк,,,https://nurbank.kz/,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,63.0,0,0.0,0 мес.,0,0.0,0 лет,1,1 дн.,3.0,3 дн.,0,https://nurbank.kz/person/credits/nur-shanyrak/,"[{'id': 11437, 'product_id': 710, 'name': 'Низкие ставки вознаграждения по кредиту', 'description': None}, {'id': 11438, 'product_id': 710, 'name': 'Возможность привлечения созаемщика', 'description': None}]",,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}]","[{'raw': 'online', 'named': 'Онлайн'}, {'raw': 'office', 'named': 'В офисе'}]",,1,,,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}]","[{'raw': 'permanent', 'named': 'Постоянная'}, {'raw': 'temporary', 'named': 'Временная'}]",,,
halyk-sale,Halyk Sale,mortgage,Программа кредитования на льготных условиях,Народный Банк Казахстана,"Аль-Фараби проспект, 40 блок D, Медеуский район, г. Алматы, 050059/A26M3K5",Лицензия на проведение банковских и иных операций и деятельности на рынке ценных бумаг,https://halykbank.kz,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,63.0,1,6.0,6 мес.,1,6.0,6 мес.,0,0 дн.,30.0,30 мин.,0,https://halykbank.kz/credit/halyk-sale,"[{'id': 11324, 'product_id': 528, 'name': 'Без комиссий', 'description': None}, {'id': 11325, 'product_id': 528, 'name': 'Ускоренное рассмотрение', 'description': None}, {'id': 11326, 'product_id': 528, 'name': 'Срок кредитования до 20 лет', 'description': None}]",,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}, {'raw': 'statement_from_pension_fund', 'named': 'Выписка с индивидуального пенсионного счета'}, {'raw': 'address_reference', 'named': 'Адресная справка'}]","[{'raw': 'office', 'named': 'В офисе'}]",,1,"Правоустанавливающие документы на недвижимость, являющейся залогом.",,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'military', 'named': 'Военнослужащие'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
zhenskaya-ipoteka-maj,Женская ипотека «ҰМАЙ»,mortgage,,Отбасы банк,"050000, г. Алматы, пр. Абылай хана, 141",,hcsbk.kz,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,63.0,0,0.0,0 мес.,0,0.0,0 лет,1,1 дн.,10.0,10 дн.,0,https://otbasybank.kz/programm-bank/umay,"[{'id': 11376, 'product_id': 714, 'name': 'Приобретение жилой недвижимости как на первичном рынке (новостройки), так и на вторичном рынке', 'description': None}, {'id': 11377, 'product_id': 714, 'name': 'Отсутствуют ограничения по наличию другой недвижимости в собственности', 'description': None}, {'id': 11378, 'product_id': 714, 'name': 'Привлечение до двух созаемщиков', 'description': None}, {'id': 11379, 'product_id': 714, 'name': 'Налоговые льготы', 'description': None}]",,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}]","[{'raw': 'office', 'named': 'В офисе'}]",,1,,,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
cifrovaya-ipoteka,Цифровая ипотека,mortgage,Кредит на покупку жилья на вторичном и первичном рынке.,Freedom Bank,"Республика Казахстан, 050000, г. Алматы, Курмангазы 61а, БЦ “Курмангазы”",,https://bankffin.kz/ru,85000.0,0.0,85000.0,85 000,85 000 ₸,,0,0 ₸,21.0,63.0,1,6.0,6 мес.,1,6.0,6 мес.,3,3 мин.,1.0,1 дн.,0,https://bankffin.kz/ipoteka/,"[{'id': 11359, 'product_id': 557, 'name': 'Быстрое принятие решения', 'description': None}, {'id': 11360, 'product_id': 557, 'name': 'Онлайн-оценка залога', 'description': None}, {'id': 11361, 'product_id': 557, 'name': 'Отсутствие комиссии за организацию займа', 'description': None}, {'id': 11362, 'product_id': 557, 'name': 'Подписание документов с помощью ЭЦП', 'description': None}, {'id': 11363, 'product_id': 557, 'name': 'Получение займа без справок и документов', 'description': None}]",,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}]","[{'raw': 'online', 'named': 'Онлайн'}, {'raw': 'office', 'named': 'В офисе'}]",,1,,,,"оценка - 5 минут;
оформление - 1 день.",,Требуеться подтверждения доходов за последние 6 месяцев,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]",[],"[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
ipoteka,Ипотека,mortgage,Быстрое оформление ипотеки на выгодных условиях.,Народный Банк Казахстана,"Аль-Фараби проспект, 40 блок D, Медеуский район, г. Алматы, 050059/A26M3K5",Лицензия на проведение банковских и иных операций и деятельности на рынке ценных бумаг,https://halykbank.kz,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,63.0,1,5.0,5 мес.,1,6.0,6 мес.,3,3 дн.,7.0,7 дн.,0,https://halykbank.kz/credit/ipoteka,"[{'id': 11330, 'product_id': 435, 'name': 'Минимальный пакет документов', 'description': None}, {'id': 11331, 'product_id': 435, 'name': 'без ограничений по сумме', 'description': None}, {'id': 11332, 'product_id': 435, 'name': 'Короткие сроки получения займа', 'description': None}]",,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}, {'raw': 'statement_from_pension_fund', 'named': 'Выписка с индивидуального пенсионного счета'}, {'raw': 'address_reference', 'named': 'Адресная справка'}]","[{'raw': 'online', 'named': 'Онлайн'}, {'raw': 'office', 'named': 'В офисе'}]",,1,"Правоустанавливающие документы по приобретаемой недвижимости либо правоустанавливающие и идентификационные документы по недвижимости, предоставляемой в качестве обеспечения",Онлайн заявка на сайте Банка.,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}, {'raw': 'foreign', 'named': 'Иностранный'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'atm', 'named': 'Банкоматы'}]","[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
ipoteka,Ипотека от ForteBank,mortgage,"Целевое назначение: приобретение жилой недвижимости;
Валюта: тенге;
Срок ипотеки: до 20 лет.",ForteBank,"г. Нур-Султан, ул. Достык, 8/1 (Z05P1P0 (010017))",Лицензия Национального Банка Республики Казахстан,https://forte.bank/,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,63.0,0,0.0,0 мес.,0,6.0,6 мес.,1,1 дн.,7.0,7 дн.,0,,[],,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'passport', 'named': 'Паспорт'}]","[{'raw': 'online', 'named': 'Онлайн'}, {'raw': 'office', 'named': 'В офисе'}]",,1,"- Документы, подтверждающие семейное положение;
- Правоустанавливающие документы;
- Документы на недвижимость.",Онлайн заявка на сайте Банка.,"- В терминале самообслуживания;
- В Интернет и Мобильном банкинге;
- В любом отделении АО «КазПочта».",,,,1,0,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'epay', 'named': 'Электронные кошельки'}]",[],"[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
ipoteka,Ипотека,mortgage,Кредит на покупку квартиры,Altyn Bank,"Республика Казахстан, A05A1B9, Алматы, пр. Абая 109 «В»",,https://altyn-i.kz/,160000.0,0.0,160000.0,160 000,160 000 ₸,,0,0 ₸,23.0,65.0,1,3.0,3 мес.,1,6.0,6 мес.,14,14 дн.,30.0,30 дн.,0,https://altynbank.kz/ru/personal/mortage,"[{'id': 11312, 'product_id': 463, 'name': 'Ставка вознаграждения от 14% до 21,5% (ГЭСВ от 19,6% до 24%)', 'description': None}, {'id': 11313, 'product_id': 463, 'name': 'Первоначальный взнос от 20%', 'description': None}, {'id': 11314, 'product_id': 463, 'name': 'Оперативно: короткие сроки рассмотрения', 'description': None}]","Максимальный возраст заемщика-мужчины на момент погашения кредита 65, заемщика-женщины – 63","[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'address_reference', 'named': 'Адресная справка'}, {'raw': 'statement_from_pension_fund', 'named': 'Выписка с индивидуального пенсионного счета'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}]","[{'raw': 'office', 'named': 'В офисе'}]",,1,"- Документы на приобретаемую недвижимость (договор купли-продажи, оценка залогового имущества)
- Документы, подтверждающие семейное положение клиента.",,,,,"Минимальный официальный чистый доход: 160 000 тенге, или 100 000 тенге при наличии Созаемщика (суммарный доход Заемщика и Созаемщика должен составлять не менее 250 000 тенге.",1,0,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}, {'raw': 'foreign', 'named': 'Иностранный'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'atm', 'named': 'Банкоматы'}, {'raw': 'transfer', 'named': 'Перевод'}]",[],"[{'raw': 'permanent', 'named': 'Постоянная'}]",Не менее 3 месяцев,Не менее 6 месяцев,
ipoteka,Ипотека от NurBank,mortgage,Ипотечные кредиты физическим лицам на приобретение недвижимого имущества и рефинансирование ранее выданных ипотечных кредитов.,Нурбанк,,,https://nurbank.kz/,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,63.0,0,0.0,0 мес.,1,6.0,6 мес.,3,3 дн.,0.0,0 дн.,0,https://nurbank.kz/person/credits/mortgage/,"[{'id': 11444, 'product_id': 440, 'name': 'Низкие ставки вознаграждения по кредиту', 'description': None}, {'id': 11445, 'product_id': 440, 'name': 'Имеется возможность привлечения созаемщика, в случае недостаточности доходов', 'description': None}, {'id': 11446, 'product_id': 440, 'name': 'Имеется возможность частичного подтверждения доходов', 'description': None}, {'id': 11447, 'product_id': 440, 'name': 'Имеется возможность кредитования без подтверждения доходов', 'description': None}, {'id': 11448, 'product_id': 440, 'name': 'Досрочное погашение кредита допускается без моратория, без штрафов и без ограничений по сумме досрочного погашения', 'description': None}]","от 21 года до достижения пенсионного возраста согласно законодательству РК (мужчины 63, женщины 58).","[{'raw': 'identical_card', 'named': 'Удостоверение личности'}]","[{'raw': 'office', 'named': 'В офисе'}, {'raw': 'online', 'named': 'Онлайн'}]",,1,"Документы на залог.
Документы, подтверждающие семейное положение клиента и владельца недвижимости;
При необходимости могут быть запрошены дополнительные документы.",Онлайн-заявка на сайте Банка.,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,Не менее 6 месяцев,
ipoteka-ddu,Ипотека ДДУ,mortgage,"Рассматриваются только аккредитованные ЖК. Со списком аккредитованных ЖК можно ознакомиться на сайте Банка в разделе ""Ипотека"".",ЦентрКредит (БЦК),"г. Алматы, пр. Аль-Фараби, 38","Лицензия на проведение банковских и иных операций и деятельности на рынке ценных бумаг №1.2.25/195/34 от 03.02.2020, выданная Агентством РК по регулированию и развитию финансового рынка.",https://www.bcc.kz/,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,68.0,0,0.0,0 мес.,0,0.0,0 лет,7,7 дн.,30.0,30 дн.,0,https://www.bcc.kz/ipoteka/,[],,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}]","[{'raw': 'office', 'named': 'В офисе'}]",,1,,,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'atm', 'named': 'Банкоматы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'pensioner', 'named': 'Пенсионеры'}, {'raw': 'military', 'named': 'Военнослужащие'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,С полным подтверждением дохода и с рассмотрением косвенных доходов.
ipoteka-plyus,Ипотека ПЛЮС,mortgage,,ЦентрКредит (БЦК),"г. Алматы, пр. Аль-Фараби, 38","Лицензия на проведение банковских и иных операций и деятельности на рынке ценных бумаг №1.2.25/195/34 от 03.02.2020, выданная Агентством РК по регулированию и развитию финансового рынка.",https://www.bcc.kz/,0.0,0.0,,0,0 ₸,,0,0 ₸,21.0,68.0,0,0.0,0 мес.,0,0.0,0 лет,7,7 дн.,30.0,30 дн.,0,https://www.bcc.kz/ipoteka/,[],,[],"[{'raw': 'office', 'named': 'В офисе'}]",,1,"- Документы, подтверждающие семейное положение;
- Копи прав. документов и тех.паспорта (от продавца);
- Справка о зарегистр. правах (обременениях) на недвижимое имущество (от продавца);
- Отчет об оценке НОК.",,,,,,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'atm', 'named': 'Банкоматы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'pensioner', 'named': 'Пенсионеры'}, {'raw': 'military', 'named': 'Военнослужащие'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'employer', 'named': 'Работники по найму'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,с полным подтверждением дохода и с рассмотрением косвенных доходов.
cifrovaya-ipoteka,Цифровая ипотека,mortgage,"Полностью цифровое решение по ипотеке, начиная с момента принятия решения до выдачи кредита",Altyn Bank,"Республика Казахстан, A05A1B9, Алматы, пр. Абая 109 «В»",,https://altyn-i.kz/,0.0,0.0,,0,0 ₸,,0,0 ₸,18.0,65.0,1,6.0,6 мес.,1,6.0,6 мес.,30,30 мин.,,0 мин.,0,https://altynbank.kz/ru/personal/digital-mortgage-loan,"[{'id': 11301, 'product_id': 564, 'name': 'Одобрение за 2 минуты', 'description': None}, {'id': 11302, 'product_id': 564, 'name': 'Залог приобретаемое жильё', 'description': None}]","Максимальный возраст заемщика-мужчины на момент погашения кредита 65, заемщика-женщины – 63","[{'raw': 'identical_card', 'named': 'Удостоверение личности'}]","[{'raw': 'online', 'named': 'Онлайн'}]",,1,,,,,,не требуется,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]",[],"[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}, {'raw': 'student', 'named': 'Студенты / Молодежь'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
ipotechnyy-zaym,Ипотечный займ,mortgage,Кредит на покупку жилой недвижимости,АО ДБ «Банк Китая в Казахстане»,,,http://www.boc.kz,85000.0,0.0,85000.0,85 000,85 000 ₸,,0,0 ₸,21.0,60.0,1,12.0,12 мес.,1,12.0,12 мес.,1,1 дн.,7.0,7 дн.,0,https://www.boc.kz/ru/credits,[],,"[{'raw': 'identical_card', 'named': 'Удостоверение личности'}, {'raw': 'reference_salary_last_six_mounth', 'named': 'Справка о заработной плате за последние 6 месяцев'}, {'raw': 'statement_from_pension_fund', 'named': 'Выписка с индивидуального пенсионного счета'}, {'raw': 'address_reference', 'named': 'Адресная справка'}]","[{'raw': 'office', 'named': 'В офисе'}]",,1,Дополнительные документы могут быть запрошены Банком,,,,,документально подтвержденный за последние 6 (Шесть) месяцев,1,1,"[{'raw': 'kazakh_citizenship', 'named': 'Гражданство РК'}]","[{'raw': 'cashbox', 'named': 'Кассы'}, {'raw': 'terminal', 'named': 'Терминалы'}, {'raw': 'transfer', 'named': 'Перевод'}]","[{'raw': 'employer', 'named': 'Работники по найму'}, {'raw': 'entrepreneur', 'named': 'Индивидуальные предприниматели'}, {'raw': 'businessman', 'named': 'Владельцы или совладельцы собственного бизнеса'}, {'raw': 'civil_servant', 'named': 'Работники бюджетной сферы / госслужащие'}, {'raw': 'military', 'named': 'Военнослужащие'}]","[{'raw': 'permanent', 'named': 'Постоянная'}]",,,
